nama_desa;jumlah_penduduk;persentase_kemiskinan;jarak_ke_pusat_kota_km;status_sinyal_eksisting;jumlah_sekolah
Desa A;1360;0,334027778;16.04;2G/3G;6
Desa B;4272;39.54.00;15.07;4G Weak;5
Desa C;3592;32.03.00;3.08;2G/3G;1
Desa D;966;0,525;31.03.00;2G/3G;8
Desa E;4926;5.19;26.01.00;No Signal;5
Desa F;3944;33.54.00;4.05;2G/3G;5
Desa G;3671;29.74;15.04;No Signal;7
Desa H;3419;30.52.00;45.06.00;No Signal;4
Desa I;630;31.99;13.05;4G Weak;6
Desa J;2185;7.59;9.00;2G/3G;4
Desa K;1269;17.55;25.05.00;4G Weak;3
Desa L;2891;9.06;49.03.00;2G/3G;7
Desa M;2933;35.21.00;13.06;4G Weak;8
Desa N;1684;26.82;34.03.00;2G/3G;4
Desa O;3885;16.58;38.06.00;2G/3G;2
Desa P;4617;7.22;13.04;2G/3G;10
Desa Q;3404;0,686111111;37.00.00;No Signal;3
Desa R;974;16.38;19.07;4G Weak;1
Desa S;1582;30.54.00;32.04.00;No Signal;8
Desa T;3058;27.31.00;32.04.00;No Signal;3
Desa U;2547;36.05.00;27.07.00;2G/3G;10
Desa V;3247;21.53;6.03;No Signal;7
Desa W;1475;9.19;42.01.00;4G Weak;10
Desa X;2306;29.96;17.04;4G Weak;5
Desa Y;689;31.63;11.00;4G Weak;10
Desa Z;3234;24.64;4.00;2G/3G;5
Desa AA;3505;31.98;30.04.00;No Signal;7
Desa AB;2399;22.28;34.05.00;4G Weak;9
Desa AC;1767;23.03;2.08;2G/3G;5
Desa AD;2028;0,858333333;26.06.00;4G Weak;1
Desa AE;3702;0,270138889;12.09;4G Weak;10
Desa AF;4056;0,3875;33.00.00;4G Weak;10
Desa AG;4390;6.01;10.04;No Signal;1
Desa AH;1146;27.27.00;35.02.00;2G/3G;2
Desa AI;3388;16.00;20.06;4G Weak;6
Desa AJ;2935;22.08;47.00.00;2G/3G;9
Desa AK;1100;36.76;8.06;No Signal;8
Desa AL;2863;0,592361111;18.04;2G/3G;5
Desa AM;2561;19.36;7.04;4G Weak;1
Desa AN;741;31.44.00;46.04.00;2G/3G;7
Desa AO;2541;13.01;44.01.00;2G/3G;5
Desa AP;3324;0,339583333;14.04;No Signal;6
Desa AQ;3112;15.14;33.07.00;2G/3G;7
Desa AR;1863;0,461111111;41.02.00;4G Weak;3
Desa AS;1978;37.54.00;28.06.00;No Signal;10
Desa AT;3056;33.28.00;27.04.00;2G/3G;3
Desa AU;1275;27.17.00;13.06;4G Weak;5
Desa AV;4514;35.05.00;6.05;4G Weak;6
Desa AW;534;33.13.00;45.01.00;2G/3G;9
Desa AX;3652;11.53;45.02.00;4G Weak;5
Desa AY;2455;36.24.00;32.04.00;2G/3G;1
Desa AZ;2085;1,019444444;18.03;No Signal;4
Desa BA;4443;33.26.00;18.08;4G Weak;5
Desa BB;3573;36.36.00;36.08.00;4G Weak;10
Desa BC;1521;16.13;45.01.00;4G Weak;10
Desa BD;3961;0,392361111;44.06.00;4G Weak;5
Desa BE;3113;0,568055556;39.04.00;2G/3G;7
Desa BF;4343;0,857638889;32.08.00;2G/3G;4
Desa BG;2000;33.63;6.00;4G Weak;1
Desa BH;661;35.13.00;9.08;2G/3G;5
Desa BI;4797;5.24;45.01.00;4G Weak;7
Desa BJ;2481;0,977777778;31.01.00;4G Weak;10
Desa BK;1495;0,834027778;2.04;4G Weak;10
Desa BL;3842;0,553472222;6.09;2G/3G;6
Desa BM;4298;9.02;33.08.00;2G/3G;5
Desa BN;1775;0,723611111;2.02;No Signal;4
Desa BO;1516;38.00.00;9.07;2G/3G;2
Desa BP;837;16.31;28.03.00;No Signal;4
Desa BQ;1378;23.16;35.02.00;2G/3G;10
Desa BR;1576;29.61;33.03.00;2G/3G;10
Desa BS;4493;0,759027778;12.08;No Signal;3
Desa BT;879;39.01.00;36.02.00;2G/3G;10
Desa BU;992;38.69;13.04;No Signal;1
Desa BV;2562;0,597916667;17.06;No Signal;8
Desa BW;4384;22.04;37.08.00;4G Weak;5
